occurrence;energy;dipole_moment;homo_lumo_gap;metal_bound_homo_energy;metal_bound_homo_s;metal_bound_homo_p;metal_bound_homo_d;metal_bound_homo_f;metal_bound_lumo_energy;metal_bound_lumo_s;metal_bound_lumo_p;metal_bound_lumo_d;metal_bound_lumo_f;polarisability;largest_frequency;molar_volume;I1/I3;I2/I3
BUQCAS-subgraph-1-00-00-00000-00000;-1323.99303959;2.2431;0.25;-0.222;0.0915982312065698;0.8977679511476101;0.010633817645820172;0.0;0.028;0.3700820534399327;0.5905743740795287;0.03934357248053861;0.0;186.77;3426.9626;2578.552;;
MAMLOD-subgraph-0-00-00-00000-00000;-998.749111008;2.1167;0.184;-0.218;0.14560380211708793;0.854396197882912;0.0;0.0;-0.034;0.0;0.9295273943956504;0.07047260560434962;0.0;194.51;3443.9795;2497.372;0.2810941996445988;0.877152348667702
OXECAW-subgraph-2-00-00-00000-00000;-1368.64935533;2.3312;0.242;-0.217;0.16561705888852057;0.8343829411114794;0.0;0.0;0.025;0.8689855072463768;0.13101449275362317;0.0;0.0;246.55;3431.3526;3231.396;;
HIMKIY-subgraph-1-00-00-00000-00000;-675.323696982;1.5769;0.223;-0.214;0.24146499567847884;0.7138072601555748;0.044727744165946416;0.0;0.009;0.11719532554257096;0.8004451864218143;0.08235948803561491;0.0;171.15;3430.3719;2108.699;0.5689898763296536;0.7214541858283717
PETHON-subgraph-0-00-00-00000-00000;-820.439127141;4.7228;0.246;-0.231;0.05056568921727084;0.9494343107827292;0.0;0.0;0.015;0.4997161993415825;0.48722897037121127;0.013054830287206267;0.0;191.04;3442.32;2452.038;;
WICVUC-subgraph-1-00-00-00000-00000;-638.44474159;1.1311;0.257;-0.219;0.2572363710749719;0.6931574102485426;0.04960621867648563;0.0;0.038;0.8788784187543094;0.12112158124569063;0.0;0.0;168.46;3405.7053;1777.539;0.18810611137925828;0.9552031909769281
KITNEJ-subgraph-1-00-00-00000-00000;-1820.75660687;2.9574;0.194;-0.226;0.06095346197502837;0.9269012485811577;0.012145289443813847;0.0;-0.032;0.0;0.9083406690140845;0.09165933098591549;0.0;356.94;3460.5033;4046.911;;
TASVIT-subgraph-0-00-00-00000-00000;-555.081012502;1.7412;0.191;-0.223;0.25960110333121156;0.6910672607680882;0.049331635900700194;0.0;-0.032;0.003943545039435452;0.9255915317559154;0.07046492320464923;0.0;134.38;3427.5771;1913.152;0.33726181669550764;0.818764961423446
GUQXIA-subgraph-3-00-00-00000-00000;-1106.60302681;1.4321;0.209;-0.24;0.15125111706881147;0.8124441465594281;0.03630473637176051;0.0;-0.031;0.0;0.9478045630650022;0.05219543693499786;0.0;275.16;3445.5348;3171.284;;
VIYHOC-subgraph-3-00-00-00000-00000;-668.12584662;3.3904;0.2;-0.231;0.12701853256746504;0.8361330876774683;0.03684837975506665;0.0;-0.031;0.013884506153360681;0.9189018617860525;0.06721363206058693;0.0;167.65;3433.2667;1969.886;;
XUXLIN-subgraph-0-00-00-00000-00000;-1594.69919718;2.2974;0.192;-0.223;0.19723371814419516;0.8027662818558048;0.0;0.0;-0.031;-0.011657599644720773;0.9376040857111135;0.0740535139336072;0.0;308.42;3465.4502;3212.158;;
ZAYPEW-subgraph-0-00-00-00000-00000;-628.851311352;1.406;0.209;-0.241;0.11758217515993824;0.8474520185307743;0.034965806309287445;0.0;-0.032;0.0;0.933091452353004;0.06690854764699605;0.0;147.24;3444.7937;2066.95;0.1972248460690571;0.879228546211097
VEVCOQ-subgraph-0-00-00-00000-00000;-1479.28598812;3.0139;0.237;-0.215;0.0946725860155383;0.8751387347391787;0.030188679245283016;0.0;0.022;0.7548954161103695;0.21539830885625277;0.029706275033377836;0.0;262.6;3500.3438;3424.348;;
ZUSMAD-subgraph-1-00-00-00000-00000;-1529.47856915;1.1867;0.199;-0.228;0.08831687562409853;0.9116831243759015;0.0;0.0;-0.029;0.0;0.9119991497502391;0.08800085024976086;0.0;257.77;3390.5551;2725.106;;
GUTQAN-subgraph-1-00-00-00000-00000;-2185.65825033;2.3753;0.22999999999999998;-0.212;0.13828322240073446;0.8617167775992655;0.0;0.0;0.018;0.8319936601381185;0.16800633986188157;0.0;0.0;362.3;3480.4844;5110.073;;
YUGBAE-subgraph-0-00-00-00000-00000;-1525.76819678;1.7848;0.251;-0.221;0.12966417910447764;0.8703358208955224;0.0;0.0;0.03;0.6976010812028383;0.3023989187971618;0.0;0.0;297.16;3353.9399;3844.58;;
OZEVOF-subgraph-3-00-00-00000-00000;-707.424878815;2.3607;0.214;-0.244;0.25479048220678036;0.7113076437144662;0.03390187407875342;0.0;-0.03;0.0140975271550728;0.9859024728449273;0.0;0.0;177.86;3417.1245;1807.374;;
IMACIK-subgraph-2-00-00-00000-00000;-1915.04831944;5.5637;0.14200000000000002;-0.191;0.033272974196469;0.9403576278859213;0.026369397917609783;0.0;-0.049;0.0;0.9320377051088095;0.0679622948911905;0.0;480.27;3402.8483;4004.248;;
LUSKOB-subgraph-1-00-00-00000-00000;-976.403705948;1.3159;0.191;-0.22;0.20574737762237763;0.7705419580419579;0.023710664335664332;0.0;-0.029;0.0;0.9287416071041802;0.0712583928958198;0.0;165.33;3436.2588;2077.249;0.435057011223962;0.7378358988888285
UDOPAH-subgraph-1-00-00-00000-00000;-761.520282289;4.1615;0.192;-0.23;0.023798932384341633;0.9762010676156584;0.0;0.0;-0.038;0.0;1.0;0.0;0.0;169.45;3443.9487;1871.109;0.6253184212571529;0.7748198036402213
KEJKUG-subgraph-1-00-00-00000-00000;-970.392559275;5.9924;0.195;-0.227;0.0;1.0;0.0;0.0;-0.032;0.02409508373851972;0.9239330091842247;0.05197190707725553;0.0;240.04;3445.94;2610.554;;
GEVLAX-subgraph-1-00-00-00000-00000;-1339.2622742;1.8974;0.199;-0.229;0.10443864229765014;0.8955613577023499;0.0;0.0;-0.03;0.029304029304029307;0.9055389055389056;0.06515706515706515;0.0;279.65;3416.4864;2524.831;;
