stable_occurrence_name;smiles;canonical_smiles;smiles_metal_bond_node_idx_groups_redefined;pattern_coordatoms;group_type;C;N;P;O;S;Se
BUQCAS-subgraph-1-00-00-00000-00000;S(C([H])([H])C(N(C([H])([H])C([H])(SC([H])(C([H])(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])([H])[H])C([H])([H])C(C([H])([H])[H])([H])C([H])([H])[H];[H]N(C([H])([H])C([H])([H])SC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])SC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H];[0, 5, 11]; SNS;;;;;;;
MAMLOD-subgraph-0-00-00-00000-00000;c1([H])c([H])c([H])c(c(n1)C(N(C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H];[H]c1nc(C([H])([H])N([H])C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[H];[8, 10, 17]; NNP;;;;;;;
OXECAW-subgraph-2-00-00-00000-00000;P(C(C([H])([H])[H])([H])C([H])([H])[H])(C(C([H])([H])[H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C(C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H];[H]N(C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H];[0, 27, 32]; PNP;;;;;;;
HIMKIY-subgraph-1-00-00-00000-00000;N1([H])C(C([H])([H])C([H])(N(C(C(C(/N=C(/C(C1(C([H])([H])[H])C([H])([H])[H])([H])[H])\C([H])([H])[H])([H])[H])([H])[H])([H])[H])C([H])([H])[H])[H])([H])[H];[H]N1C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])/N=C(\C([H])([H])[H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H];[0, 8, 12]; NNN;;;;;;;
PETHON-subgraph-0-00-00-00000-00000;n1n(c(c(c1C([H])([H])[H])[H])C([H])([H])[H])C(C([H])(N([H])C([H])([H])C([H])(n1c(c(c(n1)C([H])([H])[H])[H])C([H])([H])[H])[H])[H])([H])[H];[H]c1c(C([H])([H])[H])nn(C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])n2nc(C([H])([H])[H])c([H])c2C([H])([H])[H])c1C([H])([H])[H];[0, 17, 28]; NNN;;;;;;;
WICVUC-subgraph-1-00-00-00000-00000;N(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C(C([H])(N([H])C([H])([H])C([H])(N(C([H])(C([H])([H])[H])[H])C([H])([H])C([H])([H])[H])[H])[H])([H])[H];[H]N(C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H];[0, 18, 25]; NNN;;;;;;;
KITNEJ-subgraph-1-00-00-00000-00000;P(c1c([H])c([H])c(c(c1[H])[H])[H])(c1c(c([H])c(c(c1[H])[H])[H])[H])C([H])([H])C(N(C([H])([H])C(P(c1c([H])c([H])c(c(c1[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])[H])([H])[H])[H])([H])[H];[H]c1c([H])c([H])c(P(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])P(c2c([H])c([H])c([H])c([H])c2[H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H];[0, 27, 32]; PNP;;;;;;;
TASVIT-subgraph-0-00-00-00000-00000;N(C([H])([H])[H])(C(c1c([H])c(c(c(n1)[H])[H])[H])([H])[H])C([H])(C(N([H])C([H])([H])[H])([H])[H])[H];[H]c1nc(C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])[H])c([H])c([H])c1[H];[0, 12, 21]; NNN;;;;;;;
GUQXIA-subgraph-3-00-00-00000-00000;C(N([H])C([H])([H])c1c([H])c([H])c(c(c1[H])[H])[H])(c1c([H])c([H])c(c(n1)[H])[H])(c1c(c([H])c(c(n1)[H])[H])[H])c1nc(c(c(c1[H])[H])[H])[H];[H]c1nc(C(c2nc([H])c([H])c([H])c2[H])(c2nc([H])c([H])c([H])c2[H])N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c([H])c1[H];[1, 24, 33]; NNN;;;;;;;
VIYHOC-subgraph-3-00-00-00000-00000;c1(c([H])c(nc(c1[H])[H])C([H])([H])C(N(C([H])([H])c1c(c(c(c(n1)[H])[H])[H])[H])[H])([H])[H])[H];[H]c1nc(C([H])([H])N([H])C([H])([H])C([H])([H])c2nc([H])c([H])c([H])c2[H])c([H])c([H])c1[H];[4, 13, 22]; NNN;;;;;;;
XUXLIN-subgraph-0-00-00-00000-00000;P(C(C([H])([H])N(C([H])([H])C([H])(P(c1c([H])c([H])c(c(c1[H])[H])[H])c1c([H])c([H])c(c(c1[H])[H])[H])[H])[H])([H])[H])(C(C([H])([H])[H])([H])C([H])([H])[H])C(C([H])([H])[H])([H])C([H])([H])[H];[H]c1c([H])c([H])c(P(c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H];[0, 5, 11]; PNP;;;;;;;
ZAYPEW-subgraph-0-00-00-00000-00000;c1([H])c([H])c([H])c(c(n1)C([H])([H])N([H])C([H])([H])c1c([H])c([H])c(c(n1)[H])[H])[H];[H]c1nc(C([H])([H])N([H])C([H])([H])c2nc([H])c([H])c([H])c2[H])c([H])c([H])c1[H];[8, 12, 24]; NNN;;;;;;;
VEVCOQ-subgraph-0-00-00-00000-00000;P(C(C([H])([H])[H])([H])C([H])([H])[H])(N(C([H])([H])C([H])([H])N(C([H])([H])C([H])(N(P(C(C([H])([H])[H])(C([H])([H])[H])[H])C(C([H])([H])[H])(C([H])([H])[H])[H])[H])[H])[H])[H])C(C([H])([H])[H])([H])C([H])([H])[H];[H]N(P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H];[0, 18, 25]; PNP;;;;;;;
