stable_occurrence_name;logp;n_aliphatic_rings;n_aromatic_rings;n_saturated_rings;n_rotatable_bonds
BUQCAS-subgraph-1-00-00-00000-00000;3.354400000000002;0;0;0;14
MAMLOD-subgraph-0-00-00-00000-00000;3.4699000000000018;0;1;0;11
OXECAW-subgraph-2-00-00-00000-00000;5.173400000000004;0;0;0;18
HIMKIY-subgraph-1-00-00-00000-00000;1.9312000000000002;1;0;0;4
PETHON-subgraph-0-00-00-00000-00000;1.6030799999999998;0;2;0;10
WICVUC-subgraph-1-00-00-00000-00000;1.2595999999999998;0;0;0;14
KITNEJ-subgraph-1-00-00-00000-00000;4.841800000000004;0;4;0;10
TASVIT-subgraph-0-00-00-00000-00000;0.7328;0;1;0;7
GUQXIA-subgraph-3-00-00-00000-00000;3.9533000000000023;0;4;0;6
VIYHOC-subgraph-3-00-00-00000-00000;1.8088999999999997;0;2;0;5
XUXLIN-subgraph-0-00-00-00000-00000;5.007600000000004;0;2;0;14
ZAYPEW-subgraph-0-00-00-00000-00000;1.7663999999999993;0;2;0;4
VEVCOQ-subgraph-0-00-00-00000-00000;4.182600000000002;0;0;0;20
ZUSMAD-subgraph-1-00-00-00000-00000;3.970600000000003;0;3;0;7
GUTQAN-subgraph-1-00-00-00000-00000;8.222400000000007;0;0;0;10
YUGBAE-subgraph-0-00-00-00000-00000;6.733800000000008;0;0;0;6
OZEVOF-subgraph-3-00-00-00000-00000;2.38324;0;2;0;6
IMACIK-subgraph-2-00-00-00000-00000;8.473700000000004;0;7;0;7
LUSKOB-subgraph-1-00-00-00000-00000;1.9298999999999995;0;1;0;9
UDOPAH-subgraph-1-00-00-00000-00000;1.3696;1;2;0;0
KEJKUG-subgraph-1-00-00-00000-00000;2.7498000000000005;0;4;0;6
GEVLAX-subgraph-1-00-00-00000-00000;3.3127000000000013;0;3;0;9
QIJTEK-subgraph-0-00-00-00000-00000;0.03840000000000249;4;0;3;0
UKIWES-subgraph-0-00-00-00000-00000;1.5070000000000001;1;2;1;4
YIYMEA-subgraph-0-00-00-00000-00000;3.7968600000000006;1;3;0;7
LUKFUU-subgraph-2-00-00-00000-00000;4.537300000000004;3;4;2;2
BOWVOA-subgraph-1-00-00-00000-00000;3.3425800000000008;0;3;0;12
POCYOY-subgraph-0-00-00-00000-00000;2.3993;0;2;0;4
KUJWAO-subgraph-2-00-00-00000-00000;1.5341999999999998;0;1;0;6
PODVUA-subgraph-2-00-00-00000-00000;1.5001;0;1;0;7
ZERFEK-subgraph-0-00-00-00000-00000;4.742500000000002;0;2;0;7
DIHHUA-subgraph-0-00-00-00000-00000;8.882100000000005;1;4;0;9
AJUZOU-subgraph-0-00-00-00000-00000;2.1324999999999994;1;2;1;6
BAWKUI-subgraph-2-00-00-00000-00000;6.032200000000008;0;2;0;17
PEMGOG-subgraph-2-00-00-00000-00000;1.5008999999999997;0;2;0;8
HUGSEI-subgraph-0-00-00-00000-00000;2.0822;0;0;0;10
UMIPAJ-subgraph-1-00-00-00000-00000;2.8084000000000016;0;1;0;12
GIXDIB-subgraph-2-00-00-00000-00000;1.1099999999999999;0;1;0;6
XEPDEE-subgraph-2-00-00-00000-00000;0.28867000000000015;0;1;0;3
COGFIP-subgraph-0-00-00-00000-00000;1.9162999999999994;0;3;0;6
FIFYAX-subgraph-0-00-00-00000-00000;3.1046000000000014;0;2;0;7
SIQLUA-subgraph-3-00-00-00000-00000;3.9967000000000024;0;0;0;10
BEXVOQ-subgraph-1-00-00-00000-00000;1.0104;1;0;1;6
ZAXFUB-subgraph-0-00-00-00000-00000;2.9461000000000013;0;2;0;8
OBELEP-subgraph-0-00-00-00000-00000;5.326600000000005;0;4;0;7
DAFFUN-subgraph-3-00-00-00000-00000;2.904600000000002;0;3;0;5
VINVUL-subgraph-0-00-00-00000-00000;1.4720000000000002;0;2;0;8
JURMUG-subgraph-2-00-00-00000-00000;3.837900000000003;1;3;1;7
COGFAH-subgraph-0-00-00-00000-00000;2.5209;0;3;0;6
DOMDIT-subgraph-1-00-00-00000-00000;4.442800000000004;0;2;0;10
UYUZIZ-subgraph-2-00-00-00000-00000;1.8514;0;2;0;6
IWEJOJ-subgraph-0-00-00-00000-00000;1.4606;1;2;1;6
EFELOS-subgraph-1-00-00-00000-00000;8.583200000000005;0;1;0;6
KIHQEZ-subgraph-0-00-00-00000-00000;3.6194000000000024;0;0;0;14
XULGAO-subgraph-0-00-00-00000-00000;1.9025;0;2;0;7
XULGES-subgraph-0-00-00-00000-00000;2.2926;0;2;0;4
FETNUP-subgraph-0-00-00-00000-00000;1.4216;0;1;0;9
PUCYOD-subgraph-2-00-00-00000-00000;5.548600000000006;0;1;0;4
ZAXFOV-subgraph-0-00-00-00000-00000;4.290400000000001;0;2;0;8
GAWKIB-subgraph-1-00-00-00000-00000;4.458360000000002;1;3;0;6
VOFMEL-subgraph-1-00-00-00000-00000;8.135400000000006;1;3;1;9
LUSHEO-subgraph-3-00-00-00000-00000;1.7005;1;1;1;7
JOCGOZ-subgraph-3-00-00-00000-00000;1.7288;0;3;0;7
JURMOA-subgraph-3-00-00-00000-00000;3.1568000000000005;1;3;1;7
XULFUH-subgraph-0-00-00-00000-00000;3.325020000000001;0;3;0;6
UROXIJ-subgraph-0-00-00-00000-00000;6.100400000000007;0;0;0;26
EHOLUJ-subgraph-2-00-00-00000-00000;0.47249999999999986;0;1;0;8
ITOYOH-subgraph-0-00-00-00000-00000;4.250100000000004;0;1;0;5
BIHYUO-subgraph-1-00-00-00000-00000;5.0366000000000035;0;0;0;20
PUCZAQ-subgraph-2-00-00-00000-00000;5.1585000000000045;0;1;0;7
QUGNAJ-subgraph-0-00-00-00000-00000;3.050700000000001;0;2;0;12
QIBXOP-subgraph-2-00-00-00000-00000;1.4985;0;1;0;7
FIPXAE-subgraph-1-00-00-00000-00000;4.214000000000003;1;2;0;0
WAHJIB-subgraph-2-00-00-00000-00000;3.9608000000000025;0;2;0;12
IVAWAD-subgraph-1-00-00-00000-00000;2.3431800000000003;2;0;0;6
PIMKUU-subgraph-2-00-00-00000-00000;5.464800000000003;2;0;2;10
NAZKOQ-subgraph-2-00-00-00000-00000;1.8886;0;1;0;8
OBELIT-subgraph-0-00-00-00000-00000;5.492400000000004;0;2;0;11
LUSKIV-subgraph-2-00-00-00000-00000;2.4641;1;1;1;7
